LaMarcus Aldridge,3.4,6.2,.118,.113,-0.9,0.8,0.4,1.8
Adam Morrison,-1.5,0.0,-0.030,.001,-5.5,-5.5,-2.0,-0.6
Tyrus Thomas,2.2,2.4,.110,.088,0.1,-0.7,0.5,0.5
Shelden Williams,2.2,1.2,.070,.072,-3.6,-5.0,-0.6,-0.6
Brandon Roy,4.8,8.0,.114,.138,2.1,3.5,2.1,3.9
Randy Foye,2.3,1.1,.058,.042,-1.6,-1.4,0.2,0.2
Rudy Gay,0.5,5.0,.011,.080,-2.5,0.8,-0.3,2.1
Patrick O'Bryant,0.0,0.2,-0.003,.105,-4.1,-1.0,-0.1,0.0
J.J. Redick,1.7,0.5,.134,.091,-1.4,-4.3,0.1,-0.2
Hilton Armstrong,1.2,0.5,.091,.032,-2.6,-3.3,-0.1,-0.2
Ronnie Brewer,1.7,7.8,.124,.178,-0.2,3.9,0.3,3.1
Cedric Simmons,0.3,-0.2,.025,-0.134,-4.2,-12.6,-0.3,-0.2
Rodney Carney,1.3,1.6,.055,.075,-3.4,-2.6,-0.4,-0.2
Shawne Williams,0.7,1.4,.063,.069,-3.1,-2.3,-0.2,-0.1
Quincy Douby,0.0,0.0,-0.006,.000,-5.1,-5.4,-0.3,-0.8
Renaldo Balkman,2.8,1.3,.125,.065,1.4,-0.6,0.9,0.3
Rajon Rondo,2.4,7.2,.064,.150,0.4,2.6,1.1,2.7
Marcus Williams,-0.1,0.2,-0.004,.009,-4.8,-3.9,-0.9,-0.4
Josh Boone,1.7,3.7,.122,.100,-4.4,-1.2,-0.4,0.3
Kyle Lowry,0.5,3.4,.148,.078,3.3,-0.6,0.2,0.8
Shannon Brown,0.1,-0.5,.015,-0.102,-5.1,-9.6,-0.2,-0.5
Jordan Farmar,0.9,3.9,.038,.111,-2.9,0.7,-0.3,1.2
Maurice Ager,-0.3,-0.4,-0.060,-0.114,-9.3,-11.3,-0.4,-0.4
Mardy Collins,0.0,-1.0,.002,-0.079,-3.7,-6.2,-0.3,-0.7
