Anthony Davis,21.7,26.5,6.1,10.4,.159,.212,2.3,4.5,2.0,3.9
Michael Kidd-Gilchrist,14.0,12.0,2.1,3.1,.051,.098,-2.2,-0.9,-0.1,0.4
Bradley Beal,13.6,14.3,3.0,4.0,.082,.076,-0.1,-1.1,0.9,0.5
Dion Waiters,13.7,14.0,0.9,1.6,.026,.037,-3.2,-2.1,-0.5,0.0
Thomas Robinson,10.9,10.6,-0.1,-0.2,-0.002,-0.010,-4.5,-4.8,-0.7,-0.6
Damian Lillard,16.4,18.6,5.8,9.6,.088,.157,0.3,2.7,1.9,3.5
Harrison Barnes,11.0,9.8,2.8,3.2,.065,.070,-2.4,-1.4,-0.2,0.3
Terrence Ross,10.4,12.0,0.9,4.2,.034,.094,-2.9,-0.1,-0.3,1.0
Andre Drummond,21.6,22.6,4.5,9.9,.172,.182,2.4,1.6,1.4,2.4
Austin Rivers,5.9,11.6,-1.1,0.6,-0.038,.023,-5.6,-3.9,-1.3,-0.7
Meyers Leonard,12.1,9.4,2.4,0.6,.097,.086,-2.6,-3.3,-0.2,-0.1
Jeremy Lamb,11.2,13.4,0.2,3.3,.058,.102,-7.1,-1.2,-0.2,0.3
Kendall Marshall,7.8,12.6,-0.2,0.9,-0.012,.029,-7.3,-4.5,-0.9,-1.0
John Henson,18.2,17.9,1.9,3.3,.109,.084,-2.9,0.3,-0.2,1.1
Maurice Harkless,12.5,11.8,2.4,2.8,.059,.068,-1.0,0.0,0.5,1.0
Tyler Zeller,11.0,15.4,2.0,2.6,.048,.120,-2.3,-1.7,-0.1,0.1
Terrence Jones,17.1,19.1,0.7,7.3,.128,.169,2.1,2.2,0.3,2.2
Andrew Nicholson,15.1,9.9,1.7,0.6,.065,.025,-4.4,-6.7,-0.8,-1.4
Jared Sullinger,13.5,16.4,2.7,3.9,.146,.091,-0.6,-0.3,0.3,0.9
John Jenkins,13.0,4.7,1.7,-0.1,.091,-0.043,-2.8,-7.5,-0.2,-0.2
Jared Cunningham,14.8,8.5,0.0,0.1,.033,.075,-6.3,-5.1,0.0,-0.1
Tony Wroten,9.3,12.9,0.1,-0.9,.017,-0.025,-4.2,-4.6,-0.2,-1.2
Miles Plumlee,8.8,14.6,0.0,4.0,-0.015,.098,-7.8,-1.5,-0.1,0.2
Arnett Moultrie,16.7,6.7,1.7,0.0,.149,.007,-1.7,-7.0,0.0,-0.2
Perry Jones,7.8,10.1,0.0,1.5,-0.003,.094,-8.6,-2.5,-0.5,-0.1
Marquis Teague,6.0,3.8,-0.3,-0.5,-0.031,-0.059,-7.3,-8.8,-0.5,-0.8
Festus Ezeli,9.3,16.2,1.5,1.7,.066,.159,-1.4,-1.8,0.2,0.0
