Blake Griffin,21.9,23.4,9.8,9.2,.152,.185,3.2,4.1,4.0,3.7
Hasheem Thabeet,12.9,4.7,2.0,0.3,.109,.043,-0.4,-3.9,0.4,-0.2
James Harden,14.0,16.4,4.5,7.1,.124,.156,1.0,2.3,1.3,2.4
Tyreke Evans,18.2,14.4,5.4,1.6,.097,.036,1.6,-0.5,2.5,0.8
Jonny Flynn,13.0,7.1,0.1,-1.3,.002,-0.064,-3.6,-7.2,-1.0,-1.3
Stephen Curry,16.3,19.4,4.7,6.6,.077,.128,1.0,1.9,2.2,2.4
Jordan Hill,15.0,14.0,1.4,0.3,.105,.059,-3.1,-4.4,-0.2,-0.2
DeMar DeRozan,12.5,14.5,2.3,3.2,.066,.055,-2.8,-2.4,-0.3,-0.3
Terrence Williams,11.5,6.9,-0.3,-0.6,-0.007,-0.096,-3.8,-7.3,-0.8,-0.4
Gerald Henderson,9.7,13.2,0.4,2.4,.056,.068,-4.7,-2.3,-0.2,-0.1
Tyler Hansbrough,14.6,16.4,0.7,3.8,.070,.118,-4.2,-3.3,-0.3,-0.5
Earl Clark,8.5,10.1,-0.3,0.3,-0.033,.030,-6.9,-6.0,-0.5,-0.5
Austin Daye,12.8,13.0,1.3,2.1,.067,.070,-2.7,-1.3,-0.2,0.3
James Johnson,10.4,12.6,0.8,0.6,.054,.036,-2.1,0.0,0.0,0.4
Jrue Holiday,12.3,15.4,1.2,5.7,.032,.094,-1.8,1.4,0.1,2.5
Ty Lawson,16.4,17.9,3.7,6.7,.135,.153,0.0,1.9,0.7,2.1
Jeff Teague,11.0,14.6,0.6,1.7,.042,.083,-4.2,-1.8,-0.4,0.1
Eric Maynor,11.8,12.3,1.9,0.4,.071,.051,-3.3,-3.7,-0.4,-0.2
Darren Collison,16.5,15.6,2.9,4.3,.067,.087,-1.7,-0.7,0.2,0.8
Byron Mullens,0.7,3.5,-0.1,-0.2,-0.077,-0.113,-10.5,-17.2,-0.1,-0.3
Taj Gibson,13.8,14.3,4.7,5.2,.103,.143,-0.6,0.0,0.8,0.9
DeMarre Carroll,8.5,8.7,0.5,0.1,.031,.066,-4.1,-5.8,-0.4,0.0
Wayne Ellington,9.6,8.6,0.4,0.3,.014,.010,-4.8,-4.6,-1.0,-0.8
Toney Douglas,14.9,15.2,2.2,4.2,.097,.101,-0.8,0.7,0.3,1.4
